"Player","FG","FGA","3P","3PA","FT","FTA","TRB","AST","STL","BLK","TOV","PF","FG%","3P%","FT%"
"Luka Dončić",18,2.6,7.7,5.4,7.4,1.4,6.7,1.2,0.4,3.6,2.1,24,0.342,0.728,
"Tyler Dorsey",13.7,2.4,6.7,2,2.9,1.2,3,0.8,0.2,1.4,2.6,15.6,0.356,0.678,
"Damyean Dotson",12.5,2.2,5.9,1.4,1.9,0.7,2.5,1,0.2,1.3,2.5,14.3,0.37,0.746,
"PJ Dozier",13.7,1.6,4.9,2.2,3,2.2,3.7,1.2,0.6,1.6,2.7,16.2,0.336,0.744,
"Goran Dragić",15.9,1.8,5,3.2,4.1,0.8,5.7,1.1,0.2,2.6,2.9,18.9,0.36,0.788,
"Andre Drummond",13.6,0.1,0.5,3.2,5.4,5.5,2.1,1.8,1.8,2.4,3.6,17.8,0.2,0.585,
"Jared Dudley",7.7,1.6,4.5,1.2,1.6,0.9,2.9,1.1,0.5,1.5,4,9.3,0.352,0.714,
"Kris Dunn",13.5,1,2.8,1.6,2.2,0.6,6.9,2,0.6,2.9,4.2,14.2,0.344,0.763,
"Kevin Durant",18.3,2,5.5,5.7,6.5,0.5,5.8,0.8,1.3,3,2.1,26.6,0.372,0.882,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Trevon Duval",13.4,1.9,4.8,2.6,3.4,1.5,4.1,1.1,0.7,2,2.9,17.5,0.396,0.776,
"Vince Edwards",12.9,1.8,5.1,2.5,3.2,1.6,3.4,1.1,0.7,1.9,2.8,16,0.348,0.774,
"Henry Ellenson",14,2.2,5.5,2.6,3.3,1.1,2.6,0.9,0.3,1.7,3,16.4,0.391,0.789,
"Wayne Ellington",12.7,3.7,9.9,1.2,1.5,0.5,1.8,1.2,0.2,1.1,2.2,15.2,0.376,0.816,
"Joel Embiid",19.6,1.3,4.3,8,10,2.7,3.9,0.8,2.1,3.9,3.6,28.5,0.313,0.798,
"James Ennis",8.8,1.4,4.1,1.9,2.5,1.7,1.5,1.1,0.6,1.2,3.8,11.6,0.348,0.767,
"Drew Eubanks",11.3,1,2.8,3.1,3.8,1.7,3.2,1,1.1,2.2,3.2,15.5,0.366,0.809,
"Jacob Evans",11.1,1.2,3.6,1.2,1.7,1.3,4,1,0.6,2,4,11.6,0.33,0.731,
"Jawun Evans",11.6,0.9,2.9,1.8,2.3,0.7,4.5,1.6,0.4,2.1,4,11.6,0.303,0.78,
"Tyreke Evans",17.1,2.1,5.8,3.2,4.2,0.9,4.8,1.4,0.5,2.8,2.7,19.4,0.37,0.744,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Dante Exum",12.6,1.1,3.6,3.2,4.1,1,5.3,0.8,0.4,2.6,3.6,15.5,0.31,0.795,
"Kenneth Faried",12.6,0.4,1.3,3.1,4.6,4.5,1.5,0.9,1.1,1.7,3.8,17.4,0.324,0.673,
"Derrick Favors",12.4,0.4,1.5,2.8,4.1,3.7,1.9,1.1,1.8,1.7,3.1,17.1,0.242,0.67,
"Cristiano Felício",8.8,0.2,0.6,2.3,3.3,3.4,2,0.7,0.4,1.7,3.5,12,0.293,0.686,
"Raymond Felton",13.3,1.8,5.3,1.2,1.4,0.7,4.7,1.2,0.5,1.8,2.6,13.8,0.336,0.815,
"Terrance Ferguson",8.3,2,5.4,0.8,1.1,0.7,1.5,0.9,0.4,0.9,4,10.2,0.373,0.758,
"Yogi Ferrell",11.8,2,5.3,1.8,2.1,0.5,4,1.1,0.2,1.4,2.4,14,0.373,0.843,
"Dorian Finney-Smith",9.6,1.5,4.6,1.3,1.9,2.3,1.9,1.2,0.6,1.4,3.3,11,0.314,0.723,
"Bryn Forbes",12.3,2.6,6.1,1.2,1.4,0.3,2.6,0.7,0.1,1.2,2.5,14.8,0.418,0.813,
"Evan Fournier",15.1,2.2,6.3,2.4,2.9,0.6,3.9,1,0.2,2.1,3,18,0.353,0.822,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"De'Aaron Fox",15,1.2,3.2,3.8,5.2,0.7,7.6,1.7,0.6,3,2.8,18.8,0.366,0.737,
"Melvin Frazier",14.1,1.4,4.8,2.3,3.4,1.8,3.1,1.1,0.6,1.8,3.4,16,0.287,0.672,
"Tim Frazier",8.7,1.1,3.2,1.5,1.9,1.1,7.7,1.2,0.2,2.4,3.6,10.1,0.347,0.762,
"Jimmer Fredette",14.1,1.2,5.5,2.8,3.4,1.3,3.9,1.3,0.5,2.3,3,15.3,0.222,0.829,
"Channing Frye",12.3,2.7,7.1,1.4,1.7,0.8,2,0.8,0.7,1.4,3.9,14.6,0.376,0.81,
"Markelle Fultz",13.5,0.6,1.8,2,3.2,2,5.3,1.5,0.5,2.1,3.8,14.4,0.337,0.615,
"Danilo Gallinari",14.8,2.5,6.2,5.9,6.5,0.9,2.9,0.8,0.4,1.7,2.2,21.8,0.41,0.9,
"Langston Galloway",12.6,2.8,7.8,1.6,2,0.9,2,0.9,0.2,0.7,2.6,14.2,0.356,0.826,
"Billy Garrett",13.9,1.2,4.7,2.6,3.1,1.1,3.8,1,0.7,1.8,2.7,16.3,0.265,0.817,
"Marc Gasol",14,1.5,4.3,3.3,4.2,1.1,4.8,1.1,1.3,2.5,3,16.9,0.351,0.789,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Pau Gasol",12,0.9,2.3,2.9,4,2.3,4.4,0.5,1.4,2,2.6,14.7,0.388,0.728,
"Rudy Gay",14.8,1.4,3.7,2.6,3.3,1.5,3.2,1.1,0.8,2.3,3.1,18.4,0.374,0.801,
